BirdID,TerritoryID,Island,StatusID,Status,FieldPeriodID,PeriodStart,PeriodEnd
1042,-3,CN,32030,FLOAT,22,01/07/1997,28/08/1997
1042,14,CN,22015,XF,21,24/06/1996,11/08/1996
1042,63,CN,2551,BrF,39,25/07/2000,13/08/2000
1042,63,CN,3260,BrF,23,20/12/1997,28/03/1998
1042,63,CN,3646,BrF,25,20/06/1998,27/09/1998
1042,63,CN,3946,BrF,26,12/01/1999,29/01/1999
1042,63,CN,4243,BrF,27,09/04/1999,04/05/1999
1042,63,CN,4570,BrF,28,02/07/1999,26/09/1999
1042,63,CN,6475,BrF,40,29/06/2001,26/07/2001
1042,63,CN,6955,BrF,41,11/07/2002,02/10/2002
1042,63,CN,7401,BrF,30,06/06/2003,02/09/2003
1042,63,CN,7555,BrF,34,30/05/2004,02/09/2004
1042,63,CN,7764,BrF,32,17/05/2004,29/05/2004
1042,63,CN,8266,BrF,35,18/12/2004,12/01/2005
1042,63,CN,8665,BrF,31,12/12/2003,14/01/2004
1042,63,CN,9072,BrF,37,26/05/2005,11/09/2005
1042,63,CN,13574,BrF,75,12/06/2006,02/09/2006
1042,63,CN,13965,BrF,77,06/01/2007,29/01/2007
1042,63,CN,14353,BrF,90,30/12/2008,03/03/2009
1042,63,CN,14790,BrF,82,14/06/2007,16/09/2007
1042,63,CN,15213,BrF,85,08/01/2008,21/02/2008
1042,63,CN,15745,BrF,87,10/07/2008,07/09/2008
1042,63,CN,16339,BrF,92,08/06/2009,18/09/2009
1042,63,CN,17685,BrF,104,30/06/2010,10/09/2010
1042,63,CN,18137,BrF,105,25/06/2011,02/10/2011
1042,63,CN,19482,BrF,103,12/02/2010,19/03/2010
1042,63,CN,19729,BrF,116,04/06/2012,30/09/2012
1042,63,CN,20297,BrF,112,22/01/2012,28/02/2012
1042,63,CN,20790,BrF,118,22/01/2013,27/02/2013
1042,63,CN,21533,ABX,122,18/06/2013,30/09/2013
1042,63,CN,22243,BrF,54,11/11/2005,11/12/2005
1042,63,CN,22790,AB,124,19/01/2014,04/03/2014
1042,63,CN,23406,H,125,16/06/2014,04/10/2014
1042,63,CN,24857,AB,142,22/06/2015,29/09/2015
1042,63,CN,25754,ABX,144,02/02/2016,09/03/2016
1042,165,CN,22017,CH,21,24/06/1996,11/08/1996
1042,171,CN,6314,XF,21,24/06/1996,11/08/1996
1494,74,CN,4601,XF,28,02/07/1999,26/09/1999
1494,137,CN,22559,CH,28,02/07/1999,26/09/1999
1494,140,CN,6596,BrM,40,29/06/2001,26/07/2001
1494,140,CN,6785,BrM,41,11/07/2002,02/10/2002
1494,140,CN,7053,BrM,30,06/06/2003,02/09/2003
1494,140,CN,7699,BrM,34,30/05/2004,02/09/2004
1494,140,CN,7809,BrM,32,17/05/2004,29/05/2004
1494,140,CN,8397,BrM,35,18/12/2004,12/01/2005
1494,140,CN,8806,BrM,31,12/12/2003,14/01/2004
1494,140,CN,8932,BrM,37,26/05/2005,11/09/2005
1494,140,CN,13754,BrM,75,12/06/2006,02/09/2006
1494,140,CN,14123,BrM,77,06/01/2007,29/01/2007
1494,140,CN,14522,BrM,90,30/12/2008,03/03/2009
1494,140,CN,14974,BrM,82,14/06/2007,16/09/2007
1494,140,CN,15371,BrM,85,08/01/2008,21/02/2008
1494,140,CN,15912,BrM,87,10/07/2008,07/09/2008
1494,140,CN,16524,BrM,92,08/06/2009,18/09/2009
1494,140,CN,17839,BrM,104,30/06/2010,10/09/2010
1494,140,CN,18305,BrM,105,25/06/2011,02/10/2011
1494,140,CN,19612,BrM,103,12/02/2010,19/03/2010
1494,140,CN,19898,BrM,116,04/06/2012,30/09/2012
1494,140,CN,20420,BrM,112,22/01/2012,28/02/2012
1494,140,CN,20929,BrM,118,22/01/2013,27/02/2013
